sgemm	4	11059200	24c84a50	334.239266000
sgemm	3	11059200	24c84a50	36.414984000
sgemm	1	11059200	24c84a50	57.950941000
sgemm	3	11059200	24c84a50	182.182616000
sgemm	2	11059200	24c84a50	218.611864000
sgemm	0	11059200	24c84a50	218.615383000
sgemm	5	11059200	24c84a50	182.645377000
sgemm	6	11059200	24c84a50	183.059299000
sgemm	4	11059200	24c84a50	182.688567000
sgemm	1	11059200	24c84a50	247.545709000
sgemm	0	11059200	24c84a50	89.272595000
sgemm	5	11059200	24c84a50	89.314629000
sgemm	6	11059200	24c84a50	106.080158000
sgemm	3	11059200	24c84a50	106.745851000
sgemm	5	11059200	24c84a50	41.217110000
sgemm	1	11059200	24c84a50	59.011958000
sgemm	2	11059200	24c84a50	170.755558000
sgemm	0	11059200	24c84a50	101.184423000
sgemm	0	11059200	24c84a50	37.818927000
sgemm	5	11059200	24c84a50	99.675774000
sgemm	3	11059200	24c84a50	185.246212000
sgemm	6	11059200	24c84a50	185.902799000
sgemm	1	11059200	24c84a50	145.142312000
sgemm	0	11059200	24c84a50	83.718821000
sgemm	0	11059200	24c84a50	33.390062000
sgemm	5	11059200	24c84a50	115.219489000
ssyrk	1	7372800	ff82dda0	88.394111000
sgemm	2	11059200	24c84a50	211.098903000
sgemm	4	11059200	24c84a50	409.966658000
sgemm	6	11059200	24c84a50	190.388647000
sgemm	5	11059200	24c84a50	136.921354000
sgemm	2	11059200	24c84a50	156.172063000
strsm	1	7372800	ff82dda0	181.241883000
sgemm	0	11059200	24c84a50	220.511472000
sgemm	6	11059200	24c84a50	109.699893000
sgemm	0	11059200	24c84a50	189.465043000
sgemm	6	11059200	24c84a50	163.302467000
sgemm	2	11059200	24c84a50	217.685047000
sgemm	5	11059200	24c84a50	273.356677000
sgemm	4	11059200	24c84a50	346.396716000
sgemm	2	11059200	24c84a50	115.884230000
sgemm	3	11059200	24c84a50	612.959159000
strsm	0	7372800	ff82dda0	149.489917000
ssyrk	6	7372800	ff82dda0	149.491397000
sgemm	4	11059200	24c84a50	148.794008000
sgemm	1	11059200	24c84a50	342.059712000
sgemm	2	11059200	24c84a50	81.826978000
ssyrk	0	7372800	ff82dda0	48.435463000
sgemm	6	11059200	24c84a50	97.755792000
sgemm	5	11059200	24c84a50	246.948700000
sgemm	5	11059200	24c84a50	63.965300000
sgemm	3	11059200	24c84a50	161.748323000
sgemm	4	11059200	24c84a50	187.307260000
sgemm	2	11059200	24c84a50	187.069661000
sgemm	3	11059200	24c84a50	73.863650000
sgemm	3	11059200	24c84a50	131.621632000
sgemm	0	11059200	24c84a50	318.735320000
sgemm	4	11059200	24c84a50	284.360448000
sgemm	5	11059200	24c84a50	355.588118000
sgemm	3	11059200	24c84a50	180.889457000
sgemm	2	11059200	24c84a50	312.561732000
sgemm	0	11059200	24c84a50	180.918775000
sgemm	1	11059200	24c84a50	581.982199000
sgemm	3	11059200	24c84a50	67.190043000
sgemm	0	11059200	24c84a50	138.603925000
